id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
944576687530909206,The Hideaway by Gatt Wines,439331891,Hao,,Flaxman Valley,-34.66935,139.0203,Entire home/apt,365,2,35,2025-08-10,1.44,10,138,18,
948744380374384436,Jacob's Estate Cottage,310538520,Julieanne,,Bethany,-34.56165,138.94139,Entire home/apt,565,1,17,2025-07-15,0.72,6,313,9,
948744448749859774,Barossa Shiraz Estate Willows,310538520,Julieanne,,Lyndoch,-34.59291,138.87741,Entire home/apt,565,1,2,2025-07-14,0.45,6,165,2,
948744498020667013,Barossa Shiraz Estate The Residence,310538520,Julieanne,,Lyndoch,-34.5925358,138.8781488,Entire home/apt,533,1,0,,,6,149,0,
948744540827168469,Barossa Shiraz Estate The Loft,310538520,Julieanne,,Lyndoch,-34.5925358,138.8781488,Entire home/apt,660,1,2,2025-07-13,0.13,6,167,1,
957085024735396327,Spacious 4 Bed Home on Vineyard In Barossa Valley,242373446,Paul,,Nuriootpa,-34.46825,138.97086,Entire home/apt,329,3,30,2025-04-25,1.17,1,354,12,
959762332208292750,The Loft Barossa,182364354,Kent,,Angaston,-34.55436,139.08591,Entire home/apt,226,2,40,2025-09-10,2.22,1,51,31,
972941412958290356,Shiraz Cottage - A Vineyard Retreat in Barossa Val,460856186,Awesome,,Altona,-34.5858462,138.9306343,Entire home/apt,234,1,27,2025-08-24,1.12,3,348,5,
972941681209040047,Petit Verdot Cottage - A Vineyard Retreat in Baros,460856186,Awesome,,Altona,-34.5858462,138.9306343,Entire home/apt,234,1,57,2025-08-07,2.36,3,341,20,
977004901009773218,Premium Barossa Getaway,536209653,Tyson,,Tanunda,-34.51677,138.97629,Entire home/apt,,2,10,2024-11-03,0.43,1,0,1,
994576568022673364,"The Gaff, Our Little Irish Bar",540248600,Lisa,,Concordia,-34.58980012748122,138.76548336264455,Entire home/apt,180,1,7,2025-09-20,1.08,1,66,7,
1006949817625009542,"Vita Lenta - 3 Bed, 2 Bath",284401269,Murphy,,Tanunda,-34.52492,138.95981,Entire home/apt,263,2,88,2025-09-07,4.08,2,234,45,
1009066962115598010,Landhaus - The Gallery,365515269,Sally,,Bethany,-34.53939,138.97326,Entire home/apt,458,2,48,2025-09-13,3.12,1,227,38,
1010623846026567076,John Street House,106191354,Rebecca,,Tanunda,-34.5238337,138.9543159,Entire home/apt,,2,60,2025-09-13,2.62,1,219,34,
1012914954442121643,Barossa Retreat among the Gums,65531648,Jacqueline,,Kapunda,-34.3345147,138.9163277,Entire home/apt,401,1,3,2025-09-24,0.48,2,344,3,
1021329462904939065,Ciel House - French style,545819360,Joshua,,Angaston,-34.507236551396865,139.02115233242512,Entire home/apt,432,2,45,2025-09-26,2.35,1,266,29,
1027848457876021081,Angaston Blue-Stone Stay - Barossa Valley,547153415,Paul,,Angaston,-34.4956225,139.0531056,Entire home/apt,268,1,68,2025-08-31,3.20,1,259,37,
1045821058710235435,Barossa Pavilions,550873009,Natalie Ann,,Lyndoch,-34.5761333,138.8697533,Entire home/apt,610,2,4,2024-11-18,0.21,2,334,1,
1064922328198782258,Barossa 1900 Vineyard Retreat,362078385,Julian,,Tanunda,-34.5336086,138.9504765,Entire home/apt,553,2,92,2025-09-26,4.58,1,237,56,
1068370359671050739,Christian's Cottage,13710316,Jamie-Lee,,Tanunda,-34.51032,138.9621,Entire home/apt,522,2,22,2025-09-07,1.35,1,322,18,
1068990462631319029,"Roseworthy - Rural Living
Barossa",22593067,Sharyn,,Roseworthy,-34.5248,138.74214,Private room,75,1,3,2025-08-25,0.16,1,269,1,
1069889240397716207,Barossa Glasshouse,550873009,Natalie Ann,,Lyndoch,-34.5761333,138.8697533,Entire home/apt,1188,2,1,2024-07-15,0.07,2,317,0,
1080643617437021713,The Kirche - Luxury Couples Accommodation,274161665,Virginia And Charlie,,Bethany,-34.55928,138.967,Entire home/apt,670,2,1,2024-09-28,0.08,2,326,1,
1082058872865988202,"Sage Cottage, Country Pleasures",257562725,Jasmine,,Angaston,-34.4942944,139.0460005,Entire home/apt,265,2,11,2025-07-18,0.55,6,318,8,
1082082766690224848,"Rose Cottage, Country Pleasures",257562725,Jasmine,,Angaston,-34.49473,139.0452,Entire home/apt,265,2,24,2025-08-11,1.30,6,284,18,
1090120491465387092,Romantic Homestead farm stay in Barossa Valley SA.,559882403,Katherine,,Flaxman Valley,-34.6481,139.0632,Entire home/apt,,2,30,2025-09-19,1.89,1,0,23,
1092482543718813179,"Spa Bath, Entire Home, Off Street Parking",83898613,Hannah,,Eden Valley,-34.64346,139.09788,Entire home/apt,366,2,34,2025-07-20,1.79,1,285,20,
1095242851004419809,Benbullen Homestead,466461269,Misha,,Angaston,-34.5462685,139.027625,Entire home/apt,1898,2,0,,,4,321,0,
1095252810134424371,Benbullen Pavilion One,466461269,Misha,,Angaston,-34.54552,139.02872,Entire home/apt,1150,2,4,2025-09-07,0.31,4,287,3,
1095260296566422673,Benbullen Pavilion Two,466461269,Misha,,Angaston,-34.54735,139.02861,Entire home/apt,1150,2,0,,,4,325,0,
1095284158666262611,Gawler Park Estate,466461269,Misha,,Moculta,-34.4992,139.07711,Entire home/apt,2169,1,1,2024-12-27,0.11,4,345,1,
1097263627658516424,Mt Mac Barossa - Luxury & Authenticity,196783231,Louise,,Flaxman Valley,-34.5639443,139.0878734,Entire home/apt,612,2,12,2025-08-18,0.89,4,319,10,
1101029868029646938,Alberts cottage,564378853,Tracey,,Light Pass,-34.46117724485675,139.02145941752966,Entire home/apt,230,2,23,2025-09-23,1.25,1,227,17,
1105265495862878734,The Green Room,565406081,Karina,,Angaston,-34.49167014134118,139.0179303306885,Private room,,1,12,2025-09-11,1.22,1,0,12,
1126421036895058143,Auricht Cottage,6187392,Mai,,Tanunda,-34.5111,138.96735,Private room,,1,0,,,2,0,0,
1130653556721458382,Barossa Mulberry Homestead,559376892,Sara,,Angaston,-34.4997467,139.0515162,Entire home/apt,330,2,28,2025-09-08,1.77,3,280,23,
1135826607770593095,Washington Cottage,24300952,Paul,,Angaston,-34.50412539252663,139.04513228514423,Entire home/apt,419,2,15,2025-09-07,1.37,1,262,15,
